code,kind,source_file,page,definition
A01697,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,850,(F) SI Motion: Test stop for motion monitoring functions required
A01698,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,Commissioning mode active for
A01699,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,Switch-off signal path test re‐
A01706,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,852,SI Motion P1 (CU): SAM/SBR limit exceeded
A01711,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,853,SI Motion P1 (CU): Defect in a monitoring channel
A01712,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,856,SI Motion P1 (CU): Defect in F-IO processing
A01714,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,857,SI Motion P1 (CU): Safely-Limited Speed exceeded
A01716,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,857,SI Motion P1 (CU): Tolerance for safe motion direction exceeded
A01788,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,859,SI: Automatic test stop waits for STO deselection via motion monitoring functions
A01790,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,859,SI: Power up stopped due to STO via terminals
A01796,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,860,"(F, N) SI P1 (CU): Wait for communication"
A01798,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,860,SI Motion P1 (CU): Test stop for motion monitoring functions running
A01799,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,860,SI Motion P1 (CU): Acceptance test mode active
A01900,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,PROFIBUS: Configuration tele‐
A01910,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,F01910
A01920,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,PROFIBUS: Cyclic connection in‐
A01945,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,861,PROFIBUS: Connection to the Publisher failed
A01953,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,862,CU SYNC: Synchronization not completed
A02050,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,862,Trace: Start not possible
A02051,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,862,Trace: recording not possible as a result of know-how protection
A02055,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,862,Trace: Recording time too short
A02056,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Recording cycle too short
A02057,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Time slice clock cycle invalid
A02058,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Time slice clock cycle for endless trace not valid
A02059,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Time slice clock cycle for 2 x 8 recording channels not valid
A02060,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Signal to be traced missing
A02061,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,863,Trace: Invalid signal
A02062,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,Trace: Invalid trigger signal
A02063,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,Trace: Invalid data type
A02070,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,Trace: Parameter cannot be changed
A02075,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,Trace: Pretrigger time too long
A02095,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,MTrace 0: multiple trace cannot be activated
A02096,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,864,MTrace 0: cannot be saved
A02097,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,865,MTrace 1: multiple trace cannot be activated
A02098,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,865,MTrace 1: cannot be saved
A02099,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,865,Trace: Insufficient Control Unit memory
A02150,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,866,OA: Application cannot be loaded
A03510,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,867,"(F, N) Calibration data not plausible"
A03520,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,Temperature sensor fault Check that the sensor is connected correctly.
A03560,alarm,Siemens_G120_Fieldbus_Function_Manual.pdf,239,)1) not used
A03561,alarm,Siemens_G120_Fieldbus_Function_Manual.pdf,239,)1) not used
A05000,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,794,"""Overtemperature heat sink AC inverter"""
A05001,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,64,Description: Sets the alarm threshold for the I2t power unit overload.
A05002,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,794,"""Air intake overtemperature"""
A05004,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,868,(N) Power unit: Rectifier overtemperature
A05006,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,396,Power Module overtemperature Check the following:
A05065,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,869,"(F, N) Voltage measured values not plausible"
A06921,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,869,(N) Braking resistor phase asymmetry
A07012,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,790,Motor temperature model 2: A07910
A07014,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,396,"Notice: When selecting a catalog motor (p0301), this parameter is automatically pre-assigned and is write protected."
A07015,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,871,Drive: Motor temperature sensor alarm
A07089,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,873,Changing over units: Function module activation is blocked because the units have
A07092,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,874,Drive: moment of inertia estimator still not ready
A07094,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,874,General parameter limit violation
A07200,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,874,Drive: Master control ON command present
A07321,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,875,Drive: Automatic restart active
A07352,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,876,Drive: Limit switch signals not plausible
A07400,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,876,(N) Drive: DC link voltage maximum controller active
A07401,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,59,is output.
A07402,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,877,(N) Drive: DC link voltage minimum controller active
A07409,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,877,"(N) Drive: U/f control, curre nt limiting controller active"
A07416,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,878,Drive: Flux controller configuration
A07428,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,879,(N) Technology controller parameterizing error
A07444,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,879,PID autotuning is activated
A07530,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,880,Drive: Drive Data Set DDS not present
A07531,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,880,Drive: Command Data Set CDS not present
A07805,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,Drive: Power unit overload I2t • Reduce the continuous load.
A07850,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,"External alarm 1 The signal for ""external alarm 1"" has been triggered."
A07851,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,328,) effective Yes No 8065
A07852,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,328,) effective Yes No 8065
A07891,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,884,Drive: Load monitoring pump/fan blocked
A07892,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,884,Drive: Load monitoring pump/fan no load condition
A07893,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,884,Drive: Load monitoring pump leakage
A07903,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,886,Drive: Motor speed deviation
A07910,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,Motor overtemperature Check the motor load.
A07920,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,887,Drive: Torque/speed too low
A07921,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,887,Drive: Torque/speed too high
A07922,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,887,Drive: Torque/speed out of tolerance
A07926,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,888,Drive: Envelope curve parameter invalid
A07927,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,889,DC braking active
A07929,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,795,1
A07960,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,889,Drive: Incorrect friction characteristic
A07961,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,890,Drive: Friction characteristic record activated
A07980,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,893,Drive: Rotating measurement activated
A07981,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,893,Drive: Enable signals for the rotating measurement missing
A07991,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,Motor data identification activa‐
A07994,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,897,"(F, N) Drive: motor data identification not performed"
A08511,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,Receive configuration data not
A08526,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,No cyclic connection • Activate the control with cyclic operation.
A08564,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,899,PN/COMM BOARD: syntax error in the configuration file
A08565,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,Consistency error affecting adjust‐
A08700,alarm,Siemens_SINAMICS_G120C_List_Manual.pdf,315,(F) with alarm value = 2 present.
A08751,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,900,(N) CAN: Telegram loss
A08752,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,901,CAN: Error counter for error passive exceeded
A08753,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,901,CAN: Message buffer overflow
A08754,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,901,CAN: Incorrect communications mode
A08755,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,901,CAN: Object cannot be mapped
A08756,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,901,CAN: Number of mapped bytes exceeded
A08757,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,902,CAN: Set COB-ID invalid
A08759,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,902,CAN: PDO COB-ID already available
A08760,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,902,CAN: maximum size of the IF PZD exceeded
A08800,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,619,PROFIenergy states
A12345,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,323,.
A30015,alarm,Siemens_G120_Fieldbus_Function_Manual.pdf,239,")2) Motor phase loss (F30015, F07902)"
A30016,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,907,(N) Power unit: Load supply switched off
A30030,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,912,Power unit: Internal overtemperature alarm
A30031,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,912,Power unit: Hardware current limiting in phase U
A30032,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,912,Power unit: Hardware current limiting in phase V
A30033,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,913,Power unit: Hardware current limiting in phase W
A30034,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,913,Power unit: Internal overtemperature
A30042,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,914,Power unit: Fan has reached the maximum operating hours
A30049,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,915,Power unit: Internal fan faulty
A30054,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,915,"(F, N) Power unit: Undervoltage when opening the brake"
A30057,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,916,Power unit: Line asymmetry
A30065,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,916,"(F, N) Voltage measured values not plausible"
A30502,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,919,Power unit: DC link overvoltage
A30600,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,666,... 30699
A30666,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,486,"Note: The values ""static selected"" and ""static deselected"" result in an inactive function of the safe acknowledgment."
A30693,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,926,"(F) SI P2: Safety parameter settings changed, POWER ON required"
A30706,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,927,SI Motion P2: SAM/SBR limit exceeded
A30711,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,928,SI Motion P2: Defect in a monitoring channel
A30712,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,928,SI Motion P2: Defect in F-IO processing
A30714,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,929,SI Motion P2: Safely-Limited Speed exceeded
A30716,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,929,SI Motion P2: Tolerance for safe motion direction exceeded
A30788,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,930,Automatic test stop: wait for STO deselection via SMM
A30798,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,930,SI Motion P2: Test stop for motion monitoring functions running
A30799,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,931,SI Motion P2: Acceptance test mode active
A30810,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,932,(F) Power unit: Watchdog timer
A30920,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,Temperature sensor fault Check that the sensor is connected correctly.
A30999,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,933,"(F, N) Power unit: Unknown alarm"
A50001,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,933,(F) PROFINET configuration error
A50010,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,933,(F) PROFINET: Consistency error affecting adjustable parameters
A50011,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,934,(F) Ethernet/IP: configuration error
A50020,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,934,(F) PROFINET: Second controller missing
A50513,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,934,(F) FBLOCKS: Run sequence value already assigned
A50517,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,935,FBLOCKS: Int. meas. active
F01000,fault,Siemens_G120_CU240BE2_List_Manual.pdf,819,Internal software error
F01001,fault,Siemens_G120_CU240BE2_List_Manual.pdf,819,FloatingPoint exception
F01002,fault,Siemens_G120_CU240BE2_List_Manual.pdf,819,Internal software error
F01003,fault,Siemens_G120_CU240BE2_List_Manual.pdf,820,Acknowledgment delay when accessing the memory
F01005,fault,Siemens_G120_CU240BE2_List_Manual.pdf,820,File upload/download error
F01010,fault,Siemens_G120_CU240BE2_List_Manual.pdf,821,Drive type unknown
F01015,fault,Siemens_G120_CU240BE2_List_Manual.pdf,821,Internal software error
F01018,fault,Siemens_G120_CU240BE2_List_Manual.pdf,822,Booting has been interrupted several times
F01023,fault,Siemens_G120_CU240BE2_List_Manual.pdf,823,Software timeout (internal)
F01030,fault,Siemens_G120_CU240BE2_List_Manual.pdf,823,Sign-of-life failure for master control
F01033,fault,Siemens_G120_CU240BE2_List_Manual.pdf,823,Units changeover: Reference parameter value invalid
F01034,fault,Siemens_G120_CU240BE2_List_Manual.pdf,824,Units changeover: Calculation parameter values after reference value change
F01036,fault,Siemens_G120_CU240BE2_List_Manual.pdf,824,(A) ACX: Paramete r back-up file missing
F01038,fault,Siemens_G120_CU240BE2_List_Manual.pdf,825,(A) ACX: Loading the parameter back-up file unsuccessful
F01039,fault,Siemens_G120_CU240BE2_List_Manual.pdf,825,(A) ACX: Writing to the parameter back-up file was unsuccessful
F01040,fault,Siemens_G120_CU240BE2_List_Manual.pdf,826,Save parameter settings and carry out a POWER ON
F01042,fault,Siemens_G120_CU240BE2_List_Manual.pdf,826,Parameter error during project download
F01043,fault,Siemens_G120_CU240BE2_List_Manual.pdf,827,Fatal error at project download
F01044,fault,Siemens_G120_CU240BE2_List_Manual.pdf,828,CU: Descriptive data error
F01054,fault,Siemens_G120_CU240BE2_List_Manual.pdf,828,CU: System limit exceeded
F01068,fault,Siemens_G120_CU240BE2_List_Manual.pdf,829,CU: Data memory memory overflow
F01072,fault,Siemens_G120_CU240BE2_List_Manual.pdf,830,Memory card restored from the backup copy
F01105,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,CU: Insufficient memory Reduce number of data sets.
F01107,fault,Siemens_G120_CU240BE2_List_Manual.pdf,831,Save to memory card unsuccessful
F01112,fault,Siemens_G120_CU240BE2_List_Manual.pdf,831,CU: Power unit not permissible
F01120,fault,Siemens_G120_CU240BE2_List_Manual.pdf,831,(A) Terminal initialization has failed
F01122,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,Frequency at the probe input too
F01152,fault,Siemens_G120_CU240BE2_List_Manual.pdf,832,CU: Invalid constellation of drive object types
F01205,fault,Siemens_G120_CU240BE2_List_Manual.pdf,832,CU: Time slice overflow
F01250,fault,Siemens_G120_CU240BE2_List_Manual.pdf,832,CU: CU-EEPROM incorrect read-only data
F01257,fault,Siemens_G120_CU240BE2_List_Manual.pdf,832,CU: Firmware version out of date
F01340,fault,Siemens_G120_CU240BE2_List_Manual.pdf,833,Topology: Too many components on one line
F01505,fault,Siemens_G120_CU240BE2_List_Manual.pdf,834,(A) BICO: Interconnection cannot be established
F01510,fault,Siemens_G120_CU240BE2_List_Manual.pdf,834,BICO: Signal source is not float type
F01511,fault,Siemens_G120_CU240BE2_List_Manual.pdf,834,(A) BICO: Interconnection with different scalings
F01512,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,An attempt has been made to es‐
F01513,fault,Siemens_G120_CU240BE2_List_Manual.pdf,835,"(N, A) BICO: Interconnection cross DO with different scalings"
F01515,fault,Siemens_G120_CU240BE2_List_Manual.pdf,835,(A) BICO: Writing to parameter not permitted as the master control is active
F01600,fault,Siemens_G120_CU240BE2_List_Manual.pdf,836,SI P1 (CU): STOP A initiated
F01611,fault,Siemens_G120_CU240BE2_List_Manual.pdf,471,.
F01625,fault,Siemens_G120_CU240BE2_List_Manual.pdf,839,SI P1 (CU): Sign-of-life error in safety data
F01640,fault,Siemens_G120_CU240BE2_List_Manual.pdf,839,SI P1 (CU): component replacement identified and acknowledgment/save required
F01641,fault,Siemens_G120_CU240BE2_List_Manual.pdf,840,SI P1 (CU): component replacement identified and save required
F01649,fault,Siemens_G120_CU240BE2_List_Manual.pdf,841,SI P1 (CU): Internal software error
F01650,fault,Siemens_G120_CU240BE2_List_Manual.pdf,841,SI P1 (CU): Acceptance test required
F01651,fault,Siemens_G120_CU240BE2_List_Manual.pdf,842,SI P1 (CU): Synchronization safety time slices unsuccessful
F01653,fault,Siemens_G120_CU240BE2_List_Manual.pdf,842,SI P1 (CU): PROFIBUS/PROFINET configuration error
F01655,fault,Siemens_G120_CU240BE2_List_Manual.pdf,843,SI P1 (CU): Align monitoring functions
F01656,fault,Siemens_G120_CU240BE2_List_Manual.pdf,844,SI P1 (CU): Parameter processor 2 error
F01658,fault,Siemens_G120_CU240BE2_List_Manual.pdf,844,SI P1 (CU): PROFIsafe telegram number not suitable
F01659,fault,Siemens_G120_CU240BE2_List_Manual.pdf,844,SI P1 (CU): Write request for parameter rejected
F01660,fault,Siemens_G120_CU240BE2_List_Manual.pdf,845,SI P1 (CU): Safety-related functions not supported
F01661,fault,Siemens_G120_CU240BE2_List_Manual.pdf,846,SI P1 (CU): Simulation of the safety inputs active
F01662,fault,Siemens_G120_CU240BE2_List_Manual.pdf,846,Error internal communications
F01663,fault,Siemens_G120_CU240BE2_List_Manual.pdf,846,SI P1 (CU): Copying the SI parameters rejected
F01665,fault,Siemens_G120_CU240BE2_List_Manual.pdf,846,SI P1 (CU): System is defective
F01680,fault,Siemens_G120_CU240BE2_List_Manual.pdf,848,SI Motion P1 (CU): Checksum error safety monitoring functions
F01681,fault,Siemens_G120_CU240BE2_List_Manual.pdf,848,SI Motion P1 (CU): Incorrect parameter value
F01682,fault,Siemens_G120_CU240BE2_List_Manual.pdf,848,SI Motion P1 (CU): Monitoring function not supported
F01683,fault,Siemens_G120_CU240BE2_List_Manual.pdf,849,SI Motion P1 (CU): SLS enable missing
F01690,fault,Siemens_G120_CU240BE2_List_Manual.pdf,849,SI Motion: Data save problem for the NVRAM
F01692,fault,Siemens_G120_CU240BE2_List_Manual.pdf,850,SI Motion P1 (CU): Parameter value not permitted for encoderless
F01700,fault,Siemens_G120_CU240BE2_List_Manual.pdf,851,SI Motion P1 (CU): STOP A initiated
F01701,fault,Siemens_G120_CU240BE2_List_Manual.pdf,852,SI Motion P1 (CU): STOP B initiated
F01770,fault,Siemens_G120_CU240BE2_List_Manual.pdf,858,SI Motion P1 (CU): Discrepancy error of the failsafe inputs
F01910,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,Fieldbus SS setpoint timeout The alarm is generated when p2040 ≠ 0 ms and one of the following causes is
F01946,fault,Siemens_G120_CU240BE2_List_Manual.pdf,861,(A) PROFIBUS: Connection to the Publisher aborted
F01951,fault,Siemens_G120_CU240BE2_List_Manual.pdf,862,CU SYNC: Synchronization application clock cycle missing
F02080,fault,Siemens_G120_CU240BE2_List_Manual.pdf,864,Trace: Parameterization deleted due to unit changeover
F02151,fault,Siemens_G120_CU240BE2_List_Manual.pdf,866,(A) OA: Internal software error
F02152,fault,Siemens_G120_CU240BE2_List_Manual.pdf,866,(A) OA: Insufficient memory
F03000,fault,Siemens_G120_CU240BE2_List_Manual.pdf,866,NVRAM fault on action
F03001,fault,Siemens_G120_CU240BE2_List_Manual.pdf,867,NVRAM checksum incorrect
F03505,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,"Analog input, wire break Check the connection to the signal source for interrupts."
F06310,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,396,Supply voltage (p0210) incorrect‐
F06922,fault,Siemens_G120_CU240BE2_List_Manual.pdf,869,Braking resistor phase failure
F07011,fault,Siemens_G120_CU240BE2_List_Manual.pdf,870,Drive: Motor overtemperature
F07016,fault,Siemens_G120_CU240BE2_List_Manual.pdf,871,Drive: Motor temperature sensor fault
F07080,fault,Siemens_G120_CU240BE2_List_Manual.pdf,872,Drive: Incorrect control parameter
F07082,fault,Siemens_G120_CU240BE2_List_Manual.pdf,872,Macro: Execution not possible
F07083,fault,Siemens_G120_CU240BE2_List_Manual.pdf,873,Macro: ACX file not found
F07084,fault,Siemens_G120_CU240BE2_List_Manual.pdf,873,Macro: Condition for WaitUntil not fulfilled
F07086,fault,Siemens_G120_CU240BE2_List_Manual.pdf,873,Units changeover: Parameter limit violation due to reference value change
F07088,fault,Siemens_G120_CU240BE2_List_Manual.pdf,873,Units changeover: Parameter limit violation due to units changeover
F07220,fault,Siemens_G120_CU240BE2_List_Manual.pdf,142,"). If there is no control available,"
F07300,fault,Siemens_G120_CU240BE2_List_Manual.pdf,144,is then also output if the contactor is
F07320,fault,Siemens_G120_CU240BE2_List_Manual.pdf,875,Drive: Automatic restart interrupted
F07330,fault,Siemens_G120_CU240BE2_List_Manual.pdf,875,Flying restart: Measured search current too low
F07331,fault,Siemens_G120_CU240BE2_List_Manual.pdf,189,"Notice: The ""flying restart"" function must be used in cases where the motor may still be running (e.g. after a brief lin"
F07332,fault,Siemens_G120_CU240BE2_List_Manual.pdf,876,Flying restart: maximum speed reduced
F07401,fault,Siemens_G120_CU240BE2_List_Manual.pdf,202,"), so that the drive is not accelerated"
F07404,fault,Siemens_G120_CU240BE2_List_Manual.pdf,877,Drive: DC link voltage monitoring Vdc_max
F07405,fault,Siemens_G120_CU240BE2_List_Manual.pdf,205,"1: Buff. Vdc until undervolt., n<p1257 -> F07405, t>p1255 -> F07406"
F07406,fault,Siemens_G120_CU240BE2_List_Manual.pdf,201,Notice: An excessively high value in p1245 can possibly negatively influence the normal operation of the drive.
F07410,fault,Siemens_G120_CU240BE2_List_Manual.pdf,877,Drive: Current controller output limited
F07411,fault,Siemens_G120_CU240BE2_List_Manual.pdf,878,Drive: Flux setpoint not reached when building up excitation
F07426,fault,Siemens_G120_CU240BE2_List_Manual.pdf,781,"Depending on the setting of p2350 a different equation will be used to calculate the end values of p2274,"
F07435,fault,Siemens_G120_CU240BE2_List_Manual.pdf,879,(N) Drive: Setting the ramp-function generator for sensorless vector control
F07445,fault,Siemens_G120_CU240BE2_List_Manual.pdf,879,PID autotuning canceled
F07754,fault,Siemens_G120_CU240BE2_List_Manual.pdf,880,Drive: Incorrect shutoff valve configuration
F07800,fault,Siemens_G120_CU240BE2_List_Manual.pdf,880,Drive: No power unit present
F07801,fault,Siemens_G120_CU240BE2_List_Manual.pdf,881,Drive: Motor overcurrent
F07802,fault,Siemens_G120_CU240BE2_List_Manual.pdf,881,Drive: Infeed or power unit not ready
F07806,fault,Siemens_G120_CU240BE2_List_Manual.pdf,882,Drive: Regenerative power limit exceeded (F3E)
